2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Başlık metni oluşturuluyor...
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | 3 ürün başlığı yüklendi: urunbasliklari.txt
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Başlık metni: 'ESSMAN DUMAN TAHLIYE KAPAKLARI FİYAT TEKLİFİ'
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ADIM 1: BAŞLIK ŞABLONU RENDER EDİLİYOR
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Render: STANDART_BASLIK.docx -> STANDART_BASLIK__766135c180.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | 4 paragrafta placeholder değiştirildi
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ✓ Başlık render edildi: STANDART_BASLIK__766135c180.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ADIM 2: ÜRÜN ŞABLONLARI RENDER EDİLİYOR
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Ürün işleniyor [1/1]: LK
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Render: LK_TANIM.docx -> LK_TANIM__c23312bf4f.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | 3 paragrafta placeholder değiştirildi
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   ✓ TANIM render edildi: LK_TANIM__c23312bf4f.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Render: LK_TABLO.docx -> LK_TABLO__006fb26873.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | 6 paragrafta placeholder değiştirildi
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   ✓ TABLO render edildi: LK_TABLO__006fb26873.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ADIM 3: BELGE BİRLEŞTİRME HAZIRLANIYOR
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | 1 TANIM belgesi ekleniyor
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | 1 TABLO belgesi ekleniyor
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ------------------------------------------------------------
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | EK: FİYAT TABLOSU OLUŞTURULUYOR (SATIR SATIR)
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ------------------------------------------------------------
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Fiyat tablosu: 3 normal, 2 opsiyon satır
2026-01-21 16:21:03 | DEBUG    | BelgeOlusturucu | Toplam (sadece normal): 4.428,00, KDV: 885,60, Genel Toplam: 5.313,60
2026-01-21 16:21:03 | DEBUG    | BelgeOlusturucu | Opsiyon satır renklendirildi: BUTON - RGB(173, 216, 230)
2026-01-21 16:21:03 | DEBUG    | BelgeOlusturucu | Opsiyon satır renklendirildi: HAVALANDIRMA MOTORU - RGB(255, 218, 185)
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ✓ Fiyat tablosu yazıldı: FIYAT__20260121_162103.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   - Normal ürünler: 3
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   - Opsiyon ürünler: 2
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   - Genel toplam (KDV dahil, sadece normal): 5.313,60
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ✓ Fiyat tablosu oluşturuldu: FIYAT__20260121_162103.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Şartlar ekleniyor: SARTLAR.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Toplam birleştirilecek: 5 belge (başlık + 4 ek)
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ADIM 4: ÇIKTI DOSYA ADI OLUŞTURULUYOR
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Seri numarası oluşturuluyor...
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Seri numarası: SN:210126-DENEME-ÇANAKKALE-TÜRKIYE-LK-IBFOIM-R00
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Dosya adı: DENEME-210126-IBFOIM-R00.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ADIM 5: BELGELER BİRLEŞTİRİLİYOR
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu | Belge birleştirme başladı (temel: STANDART_BASLIK__766135c180.docx)
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   [1/4] Ekleniyor: LK_TANIM__c23312bf4f.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   [2/4] Ekleniyor: LK_TABLO__006fb26873.docx
2026-01-21 16:21:03 | INFO     | BelgeOlusturucu |   [3/4] Ekleniyor: FIYAT__20260121_162103.docx
